,Region,Variable,Var_uid,Unit,Year,Value
0,BGR,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.08164473804624063
0,CYP,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.0
0,DNK,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.21421284575903948
0,IRL,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.23045744190069778
0,EST,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.2094499009564838
0,AUT,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.18026473215377783
0,CZE,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.23828435937936843
0,FIN,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.24492273009611684
0,FRA,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.13742603575194823
0,DEU,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.14557456240146702
0,GRC,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.10761106147756878
0,HRV,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.06631817800390223
0,HUN,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.16980127314905508
0,ISL,Disturbance intensity,disturbance_intensity,Percentage share,2020,
0,ITA,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.0883331014543074
0,LVA,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.2597695277870572
0,LTU,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.20182624157625864
0,SVK,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.14281947775781068
0,LIE,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.08987586949391238
0,MLT,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.0
0,BEL,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.17915941702940494
0,LUX,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.14355704032186398
0,NLD,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.084917680192701
0,NOR,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.13520014011139952
0,POL,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.14891681269932436
0,PRT,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.4673439354693084
0,ROU,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.08376667548886305
0,SVN,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.06987559215146873
0,ESP,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.1727726018521299
0,SWE,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.23557245110238934
0,CHE,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.09382417618208394
0,GBR,Disturbance intensity,disturbance_intensity,Percentage share,2020,0.15200584718649673
